#Date :
#Mag :
#Magerr :
#end :
@INSTRUMENT STANDARD
@BAND B
@MAGSYS VEGA
228.5901 14.966 0.006
234.6081 14.934 0.007
238.5953 15.044 0.009
240.6058 15.127 0.007
244.6252 15.4 0.006
249.5977 15.922 0.006
252.6033 16.27 0.006
257.6257 16.79 0.005
263.6145 17.335 0.015
265.6119 17.419 0.011
274.7846 17.811 0.087
275.6135 17.853 0.007
279.6524 17.931 0.006
318.6274 18.43 0.024
322.6412 18.69 0.069
