#Date :
#Mag :
#Magerr :
#end :
@INSTRUMENT STANDARD
@BAND V
@MAGSYS VEGA
228.5901 14.98 0.004
234.6081 14.857 0.004
238.5953 14.925 0.005
240.6058 14.978 0.004
244.6252 15.189 0.004
249.5977 15.502 0.004
252.6033 15.65 0.004
257.6257 15.878 0.003
263.6145 16.151 0.006
265.6119 16.269 0.005
274.7846 16.767 0.011
275.6135 16.796 0.004
279.6524 16.934 0.004
318.6274 17.9 0.014
322.6412 18.05 0.044
