#Date :
#Mag :
#Magerr :
#end :
@INSTRUMENT STANDARD
@BAND U
@MAGSYS VEGA
222.9 14.986 0.036
223.84 14.818 0.037
224.79 14.693 0.043
226.76 14.477 0.041
227.8 14.422 0.036
232.69 14.442 0.038
233.62 14.486 0.036
234.64 14.526 0.055
246.75 15.531 0.036
248.63 15.826 0.036
250.74 16.199 0.037
252.69 16.506 0.038
258.72 17.236 0.055
261.62 17.409 0.04
275.65 18.123 0.06
279.64 18.184 0.042
284.67 18.123 0.058
285.61 18.271 0.054
291.62 18.21 0.107
306.66 18.529 0.049
312.65 18.65 0.09
