#Date :
#Mag :
#Magerr :
#end :
@INSTRUMENT STANDARD
@BAND R
@MAGSYS VEGA
247.95 14.271 0.027
249.99 14.2 0.01
252.0 14.167 0.01
253.99 14.178 0.012
258.0 14.237 0.012
260.96 14.383 0.01
275.9 14.901 0.024
280.98 15.123 0.017
282.98 15.246 0.01
284.92 15.4 0.012
287.97 15.603 0.02
290.97 15.789 0.011
308.85 16.387 0.009
312.86 16.525 0.01
343.78 17.501 0.015
434.62 19.86 0.079
