#Date :
#Mag :
#Magerr :
#end :
@INSTRUMENT STANDARD
@BAND U
@MAGSYS VEGA
246.89 14.081 0.035
247.95 14.039 0.046
252.0 14.168 0.037
253.99 14.276 0.038
258.0 14.69 0.045
260.96 15.057 0.038
275.9 16.888 0.047
280.98 17.153 0.043
282.98 17.205 0.043
284.92 17.424 0.044
287.97 17.471 0.053
290.97 17.56 0.05
308.85 17.988 0.058
312.86 18.12 0.058
343.78 18.816 0.08
