#Date :
#Mag :
#Magerr :
#end :
@INSTRUMENT STANDARD
@BAND V
@MAGSYS VEGA
246.89 14.392 0.007
247.95 14.356 0.022
249.99 14.253 0.007
252.0 14.237 0.008
253.99 14.211 0.008
258.0 14.278 0.01
260.96 14.473 0.007
275.9 15.319 0.009
280.98 15.593 0.012
282.98 15.711 0.008
284.92 15.843 0.009
287.97 16.028 0.016
290.97 16.18 0.009
308.85 16.668 0.007
312.86 16.751 0.007
343.78 17.461 0.011
434.62 19.297 0.05
