#Date :
#Mag :
#Magerr :
#end :
@INSTRUMENT STANDARD
@BAND B
@MAGSYS VEGA
246.89 14.361 0.012
247.95 14.316 0.028
249.99 14.274 0.012
252.0 14.27 0.012
253.99 14.372 0.015
258.0 14.698 0.015
260.96 15.043 0.013
275.9 16.43 0.022
280.98 16.743 0.022
282.98 16.853 0.02
284.92 16.969 0.022
287.97 17.078 0.028
290.97 17.208 0.024
308.85 17.616 0.033
312.86 17.667 0.033
343.78 18.116 0.048
434.62 19.643 0.191
